customer_id,age,age_group,gender,region,vehicle_type,service_type,customer_segment,vehicle_age_years,mileage_km,last_service_cost,number_of_previous_services,days_since_last_service,service_rating,waiting_time_minutes,coupon_used,service_rebooked
VS0001,56,51+,Male,East,Electric,Inspection,New,2,43797,1417.36,7,233,2,137,No,0
VS0002,40,36-50,Female,North,Sedan,Repair,Returning,8,57409,688.43,8,473,5,107,No,0
VS0003,45,36-50,Male,East,Hybrid,Brake Service,Returning,13,39674,217.13,9,394,2,25,No,0
VS0004,65,51+,Female,East,Hybrid,Brake Service,Returning,5,243134,1676.28,10,486,3,11,Yes,0
VS0005,48,36-50,Male,East,SUV,Repair,Returning,4,212670,557.89,18,314,2,121,Yes,0
VS0006,25,18-25,Male,East,Electric,Inspection,Loyal,5,250027,1196.34,5,329,2,173,Yes,0
VS0007,60,51+,Male,East,Electric,Inspection,Returning,4,57844,1577.47,2,463,2,96,Yes,0
VS0008,58,51+,Female,West,Electric,Repair,Loyal,5,155997,1142.21,8,80,5,133,Yes,1
VS0009,70,51+,Male,South,Truck,Oil Change,Loyal,14,12171,167.88,1,183,2,174,Yes,0
VS0010,47,36-50,Female,South,Hybrid,Brake Service,Returning,15,41430,1037.66,18,185,1,97,No,0
VS0011,64,51+,Female,South,Sedan,Brake Service,Returning,13,24119,717.7,5,341,4,86,Yes,0
VS0012,23,18-25,Male,South,Electric,Tire Service,Loyal,1,62579,613.19,6,456,5,66,Yes,0
VS0013,62,51+,Male,North,SUV,Repair,Fleet,3,192742,1776.6,3,453,1,109,No,0
VS0014,61,51+,Female,North,SUV,Repair,Returning,8,92559,149.79,2,248,1,96,Yes,0
VS0015,41,36-50,Male,South,SUV,Brake Service,Fleet,10,37198,1623.95,2,168,1,45,No,0
VS0016,73,51+,Female,South,Electric,Brake Service,Returning,12,254935,1651.06,17,395,2,30,No,0
VS0017,42,36-50,Male,East,Sedan,Repair,Returning,2,195077,311.0,17,519,4,116,No,0
VS0018,60,51+,Female,West,SUV,Repair,New,12,163203,1551.07,7,598,4,159,Yes,0
VS0019,67,51+,Female,West,Truck,Tire Service,Loyal,9,75448,1372.66,9,472,2,31,No,0
