Customer_ID,Age,Gender,City,Income,Website_Visits,Previous_Purchases,Membership_Level,Time_on_Site_Minutes,Email_Opened,Discount_Used,Purchased
1,58,Female,Toronto,66048,7,7,Basic,3.5,Yes,No,No
2,19,Female,Oshawa,60495,16,0,Silver,18.2,No,Yes,Yes
3,55,Male,Toronto,50926,22,13,Basic,4.7,No,Yes,No
4,42,Female,Ajax,75082,19,8,Gold,18.5,Yes,No,Yes
5,53,Male,Vaughan,111070,28,11,Silver,17.9,Yes,Yes,Yes
6,23,Female,Toronto,79823,8,14,Silver,9.8,No,No,No
7,60,Male,Vaughan,119593,20,2,Silver,5.1,Yes,Yes,Yes
8,42,Male,Vaughan,103000,7,10,Gold,19.6,Yes,Yes,Yes
9,43,Male,Toronto,57653,29,10,Basic,13.0,No,Yes,Yes
10,26,Female,Vaughan,103579,17,8,Gold,11.3,No,No,Yes
11,26,Male,Toronto,36175,27,3,Basic,4.8,No,Yes,Yes
12,42,Male,Markham,62953,17,0,Silver,3.7,No,No,No
13,36,Male,Oshawa,89470,0,8,Premium,19.3,Yes,No,Yes
14,27,Male,Oshawa,100697,30,0,Silver,12.7,Yes,No,Yes
15,33,Female,Oshawa,,30,2,Basic,12.7,Yes,Yes,Yes
16,60,Male,Markham,51643,8,13,Premium,23.3,Yes,No,Yes
17,60,Male,Whitby,97839,14,3,Basic,2.5,Yes,Yes,Yes
18,18,Female,Vaughan,112719,1,7,Basic,1.8,No,Yes,No
19,35,Male,Oshawa,100678,4,15,Basic,12.4,No,Yes,No
20,24,Male,Ajax,85519,13,14,Gold,2.3,Yes,Yes,Yes
21,64,Male,Toronto,62591,6,6,Silver,4.4,Yes,No,No
22,33,Female,Whitby,102132,3,1,Silver,14.0,Yes,Yes,Yes
23,28,Male,Whitby,93092,6,12,Premium,5.0,Yes,No,Yes
24,47,Male,Whitby,,21,15,Basic,8.1,Yes,Yes,Yes
25,21,Female,Markham,92493,16,5,Basic,13.2,Yes,Yes,Yes
26,61,Female,Whitby,45713,30,7,Silver,2.0,Yes,No,No
27,34,Female,Vaughan,71180,7,8,Basic,17.1,No,No,No
28,22,Female,Whitby,111416,18,3,Basic,6.1,No,Yes,Yes
29,22,Female,Ajax,67353,5,14,Gold,17.9,Yes,No,Yes
30,26,Male,Toronto,44029,23,4,Basic,15.5,No,Yes,Yes
31,50,Male,Ajax,36658,2,13,Gold,2.1,No,Yes,No
32,28,Male,Markham,86057,17,0,Basic,23.7,Yes,Yes,Yes
33,55,Female,Whitby,46704,1,9,Basic,23.4,Yes,No,No
34,,Female,Vaughan,43473,11,13,Premium,19.0,Yes,Yes,Yes
35,44,Female,Oshawa,73540,25,13,Gold,21.7,Yes,No,Yes
36,62,Female,Whitby,35075,27,15,Basic,20.6,No,No,No
37,32,Female,Toronto,116511,6,12,Basic,21.7,No,No,Yes
38,61,Male,Toronto,45118,28,8,Basic,24.1,No,Yes,No
39,56,Male,Ajax,71114,13,3,Basic,14.8,No,Yes,Yes
40,18,Female,Ajax,86531,2,10,Silver,16.9,Yes,No,Yes
41,60,Male,Ajax,82743,22,9,Silver,5.6,No,Yes,Yes
42,43,Female,Ajax,67606,6,13,Gold,15.6,No,No,Yes
43,46,Female,Markham,92021,25,5,Silver,7.8,No,Yes,Yes
44,61,Male,Oshawa,56100,4,0,Basic,24.6,Yes,No,No
45,58,Female,Vaughan,80328,15,12,Basic,16.7,Yes,Yes,Yes
46,32,Female,Vaughan,97889,14,1,Silver,23.0,Yes,No,Yes
47,47,Male,Whitby,110301,26,13,Gold,14.1,Yes,No,Yes
48,34,Female,Vaughan,66347,24,15,Silver,7.6,Yes,No,Yes
49,35,Male,Ajax,100798,2,4,Basic,10.2,Yes,Yes,Yes
50,44,Male,Ajax,101121,14,13,Basic,21.0,No,Yes,Yes
51,48,Female,Ajax,69139,24,12,Gold,23.9,No,Yes,Yes
52,32,Male,Whitby,93654,0,12,Basic,17.3,No,Yes,Yes
53,26,Female,Whitby,107580,18,0,Basic,11.3,No,Yes,No
54,34,Male,Ajax,57742,14,10,Basic,22.1,No,No,No
55,23,Male,Toronto,100702,1,11,Basic,2.6,Yes,Yes,Yes
56,30,Female,Markham,49973,7,4,Silver,3.7,Yes,No,No
57,41,Female,Markham,109593,30,3,Gold,4.9,No,Yes,Yes
58,37,Male,Whitby,55995,2,7,Basic,19.5,Yes,Yes,Yes
59,52,Male,Vaughan,78571,2,10,Basic,11.1,No,Yes,Yes
60,41,Male,Vaughan,50052,13,5,Gold,24.2,No,No,Yes
61,45,Male,Ajax,62177,26,2,Basic,11.8,No,No,No
62,19,Male,Ajax,53834,15,6,Basic,7.2,No,No,No
63,51,Female,Toronto,61635,23,13,Silver,19.2,No,No,Yes
64,19,Female,Ajax,59045,12,7,Basic,15.0,No,No,Yes
65,65,Male,Ajax,89473,8,9,Basic,3.9,Yes,No,No
66,65,Female,Oshawa,58361,23,15,Basic,15.2,No,Yes,Yes
67,36,Female,Ajax,53519,9,0,Gold,4.0,Yes,Yes,No
68,62,Female,Vaughan,94340,3,0,Silver,12.3,No,No,No
69,21,Male,Whitby,44953,26,2,Silver,2.8,Yes,Yes,No
70,54,Male,Toronto,62530,3,13,Silver,20.0,Yes,No,Yes
71,46,Male,Markham,86207,9,1,Silver,18.8,Yes,Yes,Yes
72,60,Female,Oshawa,61439,5,2,Basic,10.8,No,No,No
73,32,Male,Vaughan,67056,22,14,Basic,6.6,No,Yes,Yes
74,25,Female,Vaughan,49528,29,8,Gold,2.7,Yes,No,Yes
75,46,Female,Whitby,69857,22,12,Premium,13.0,No,No,Yes
76,56,Female,Whitby,72247,19,8,Basic,6.5,Yes,No,No
77,29,Male,Markham,115394,14,8,Basic,15.0,No,Yes,Yes
78,40,Male,Ajax,72081,21,3,Gold,8.9,No,No,Yes
79,53,Female,Whitby,41542,10,8,Basic,24.3,No,Yes,Yes
80,44,Female,Oshawa,97952,11,15,Silver,19.2,Yes,No,Yes
81,36,Male,Vaughan,93532,3,0,Premium,15.6,Yes,Yes,Yes
82,53,Female,Markham,83476,2,7,Premium,22.9,No,Yes,Yes
83,49,Male,Markham,65838,13,15,Premium,6.8,Yes,No,Yes
